feature,importance_mean,importance_std
MDVP:Jitter(Abs),0.01855400403170585,0.006547340755610874
MDVP:Jitter(%),0.02237059873084938,0.0011929877640217885
HNR,0.023030548387618466,0.005276973857526025
MDVP:PPQ,0.026057925440177925,0.0058628207785199095
RPDE,0.02857786843739001,0.009539571803525897
DFA,0.028864346414713294,0.008890859733736038
Shimmer:APQ3,0.029495244841043385,0.007282144460080179
Shimmer:DDA,0.029688619977788332,0.009231105003565067
MDVP:Shimmer,0.03529828490847116,0.008041228706372196
D2,0.037273021365743605,0.00861374786181127
MDVP:Flo(Hz),0.03751587865871973,0.004874714258545194
MDVP:RAP,0.03897972877209576,0.017597642906169414
MDVP:Shimmer(dB),0.039272864635748236,0.020034254230447027
Jitter:DDP,0.04401217212997625,0.027672863802685837
NHR,0.044032380882308694,0.03266072279514415
MDVP:Fhi(Hz),0.05199644424569362,0.01994111251116586
Shimmer:APQ5,0.05452632104504522,0.020228649583736547
MDVP:APQ,0.05616866872198682,0.007045701943682165
MDVP:Fo(Hz),0.0582513841897889,0.028371029133387148
spread2,0.06420111530170466,0.0348151369746294
spread1,0.1017106318463958,0.023831829382505845
PPE,0.130121947035035,0.04556944620679342
